UNIQUE INTERNAL CODE,UPC (UNIVERSAL PRODUCT CODE),PRODUCT NAME,PRODUCT DESCRIPTION,PRODUCT PRICE,PRODUCT URL,IMAGE URL,CATEGORY,MANUFACTURER,STOCK STATUS,CONDITION (IF NOT NEW),MPN (MANUFACTURER PART NUMBER),PAYMENT TYPE,KEYWORDS,MSRP,SALE PRICE,GENDER,DEPARTMENT,SHIPPING COST,SIZE,SHIPPING WEIGHT,COLOR,PROMOTIONAL MESSAGE,ZIP CODE,CURRENCY,Item Group ID,Google Age Group,custom label 0
1713,605284000038,Smartwool Hiking Medium Crew Socks - Grey,A good all-purpose three-season outdoor Smartwool sock designed for rugged day hikes or lightweight backpacking. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,17.99,https://www.bobwards.com/smartwool-hiking-medium-crew-socks-365?color=GREY&size=S,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/swool_SW130_grey_11.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW130,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Medium, Crew, Socks,SW130,10-130",18.95,17.99,m,FOOTWEAR,,S,0.5,Grey,Same Day Shipping,59801,USD,365,Adult,0-49
220831,605284002919,Smartwool Hiking Medium Crew Socks - Dark Brown,A good all-purpose three-season outdoor Smartwool sock designed for rugged day hikes or lightweight backpacking. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,17.99,https://www.bobwards.com/smartwool-hiking-medium-crew-socks-365?color=DARK%20BROWN&size=M,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/swool_SW130_dkbrn_11.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW130,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Medium, Crew, Socks,SW130,10-130",18.95,17.99,m,FOOTWEAR,,M,0.5,Dark Brown,Same Day Shipping,59801,USD,365,Adult,0-49
220832,605284002926,Smartwool Hiking Medium Crew Socks - Dark Brown,A good all-purpose three-season outdoor Smartwool sock designed for rugged day hikes or lightweight backpacking. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,17.99,https://www.bobwards.com/smartwool-hiking-medium-crew-socks-365?color=DARK%20BROWN&size=L,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/swool_SW130_dkbrn_11.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW130,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Medium, Crew, Socks,SW130,10-130",18.95,17.99,m,FOOTWEAR,,L,0.5,Dark Brown,Same Day Shipping,59801,USD,365,Adult,0-49
1727,605284051351,Smartwool Mountaineering Extra Heavy Mid - Calf Socks - Gray / Crimson,Smartwool`s Extra-heavy full-cushioning keeps your feet warm and dry when you`re mountaineering ice climbing and multi-day backpacking. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,21.99,https://www.bobwards.com/smartwool-mountaineering-extra-heavy-midcalf-socks-369?color=GRAY%2FCRIMSON&size=S,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/39242-DEFAULT-l.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW133,"Visa, MasterCard, AmericanExpress, Discover",,23.95,21.99,m,FOOTWEAR,,S,0.5,Gray / Crimson,Same Day Shipping,59801,USD,369,Adult,0-49
1717,605284000113,Smartwool Hiking Medium Crew Socks - Grey,A good all-purpose three-season outdoor Smartwool sock designed for rugged day hikes or lightweight backpacking. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,17.99,https://www.bobwards.com/smartwool-hiking-medium-crew-socks-365?color=GREY&size=L,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/swool_SW130_grey_11.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW130,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hiking, Medium, Crew, Socks,SW130,10-130",18.95,17.99,m,FOOTWEAR,,L,0.5,Grey,Same Day Shipping,59801,USD,365,Adult,0-49
126361,605284002964,Smartwool Trekking Heavy Crew Socks - Taupe,When the terrain gets heavy you`ll be glad to sport these fully cushioned trekking socks. Heavy full-cushioning provides shock absorption offers insulation against the elements and supports under weighty loads. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,18.99,https://www.bobwards.com/smartwool-trekking-heavy-crew-socks-367?color=TAUPE&size=L,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/s_SW131(10131)_236_14.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW131,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Trekking, Heavy, Crew, Socks,SW131,10-131",20.95,18.99,m,FOOTWEAR,,L,0.5,Taupe,Same Day Shipping,59801,USD,367,Adult,0-49
126362,605284002971,Smartwool Trekking Heavy Crew Socks - Taupe,When the terrain gets heavy you`ll be glad to sport these fully cushioned trekking socks. Heavy full-cushioning provides shock absorption offers insulation against the elements and supports under weighty loads. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,18.99,https://www.bobwards.com/smartwool-trekking-heavy-crew-socks-367?color=TAUPE&size=XL,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/s_SW131(10131)_236_14.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW131,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Trekking, Heavy, Crew, Socks,SW131,10-131",20.95,18.99,m,FOOTWEAR,,XL,0.5,Taupe,Same Day Shipping,59801,USD,367,Adult,0-49
1728,605284001189,Smartwool Mountaineering Extra Heavy Mid - Calf Socks - Gray / Crimson,Smartwool`s Extra-heavy full-cushioning keeps your feet warm and dry when you`re mountaineering ice climbing and multi-day backpacking. Arch brace holds the sock in place and adds additional support. Flat-knit toe seam keeps you comfortable.,21.99,https://www.bobwards.com/smartwool-mountaineering-extra-heavy-midcalf-socks-369?color=GRAY%2FCRIMSON&size=M,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/39242-DEFAULT-l.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW133,"Visa, MasterCard, AmericanExpress, Discover",,23.95,21.99,m,FOOTWEAR,,M,0.5,Gray / Crimson,Same Day Shipping,59801,USD,369,Adult,0-49
1787,605284078150,Smartwool Hunting Heavy Crew Socks - Brown / Forest,Heavy full-cushioning is great for people on their feet all day and need an ultra-durable sock. Features Smartwool`s original technical fit system that allows your foot and sock to flex without bunching. Now made using WOW technology.,19.99,https://www.bobwards.com/smartwool-hunting-heavy-crew-socks-390?color=BROWN%2FFOREST&size=L,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/smartw_sw276_214_12.jpg,FOOTWEAR>SOCKS>HUNTING,Smartwool,Y,New,SW276,"Visa, MasterCard, AmericanExpress, Discover","SmartWool, Hunting, Heavy, Crew, Socks,SW276,10-276",21.95,19.99,m,FOOTWEAR,,L,0.5,Brown / Forest,Same Day Shipping,59801,USD,390,Adult,0-49
713058,605284084793,Smartwool Youth Hiking Light Crew - Gray / Red,Because it`s easy for kids to rack up the miles on their feet Smartwool`s created a miniature version of the popular Light Hiking sock. With a half-cushion sole kids can slip these on during summer and winter alike. The perfect all-purpose sock for kids.,7.99,https://www.bobwards.com/smartwool-youth-hiking-light-crew-392?color=GRAY%2FRED&size=M,http://bobwards-hyperstatic.appspot.com/w=480-h=480/www.bobwards.com/prodimages/alt_images/smatw_sw191_039_12.jpg,FOOTWEAR>SOCKS>HIKING,Smartwool,Y,New,SW191,"Visa, MasterCard, AmericanExpress, Discover","smartwool, kid's, hiking, light, crew, sock, SW191",10.95,7.99,u,FOOTWEAR,,M,0.5,Gray / Red,Same Day Shipping,59801,USD,392,Kids,0-49
