product_type	google_product_category
FISHING>FLY FISHING>ACCESSORIES	Sporting Goods > Outdoor Recreation > Fishing > Fishing Lures > Fishing Flies
FISHING>FLY FISHING>ACCESSORIES	Sporting Goods > Outdoor Recreation > Fishing
FOOTWEAR>SOCKS>CASUAL	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes
FOOTWEAR>SOCKS>CASUAL	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Shearling & Fur Trimmed Boots
MENS CLOTHING>SHIRTS AND SWEATERS>LONG SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts
UNKNOWN	Apparel & Accessories>Clothing>Shirts & Tops>Shirts & Blouses
MENS CLOTHING>SHIRTS AND SWEATERS>SHORT SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>SOCKS>CASUAL	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
FOOTWEAR>WOMENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots > Snow Boots
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
MENS CLOTHING>SHIRTS AND SWEATERS>SHORT SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
MENS CLOTHING>HATS GLOVES AND ACCESSORIES>FLEECE AND SOFT SHELL GLOVES	Apparel & Accessories > Clothing > Activewear > Hunting Clothing
SKIS AND SKI EQUIPMENT>TRAVEL GEAR AND BAGS	Sporting Goods > Winter Sports > Downhill Skiing > Ski Bags
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
FOOTWEAR>MENS FOOTWEAR>INSULATED AND WINTER BOOTS	Apparel & Accessories > Shoes > Boots
MENS CLOTHING>JACKETS AND VESTS>SHELL JACKETS	Apparel & Accessories > Clothing > Outerwear
MENS CLOTHING>SHIRTS AND SWEATERS>SHORT SLEEVE CASUAL SHIRTS	Apparel & Accessories>Clothing>Shirts & Tops
SPORTS GEAR>FITNESS>BOXING	Sporting Goods
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories>Shoes
HUNTING>MULTI-TOOLS	"Sporting Goods > Outdoor Recreation > Camping, Backpacking & Hiking"
FOOTWEAR>SOCKS>HIKING	Apparel & Accessories > Clothing > Underwear & Socks > Socks
FOOTWEAR>WOMENS FOOTWEAR>CASUAL SHOES	Apparel & Accessories > Shoes
MENS CLOTHING>SHIRTS AND SWEATERS>LONG SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops
WOMENS CLOTHING>SHIRTS AND SWEATERS>LONG SLEEVE CASUAL SHIRTS	Apparel & Accessories > Clothing > Shirts & Tops > Shirts & Blouses
CAMPING GEAR>SLEEPING PADS AND MATTRESSES>ACCESSORIES	"Sporting Goods>Outdoor Recreation>Camping, Backpacking & Hiking>Sleeping Bags"
